"","V1","V2","V3","V4","V5","V6","V7"
"156",464885.984771,4.3129,-1.8115,2.129,5.591,6.8341,-6.8489
"184",464886.014922,2.7957,-7.0185,2.1708,2.1739,5.0933,-5.0213
"381",464886.045104,1.0542,-7.2509,1.5726,-8.0762,4.6744,6.0154
"43",464886.075256,3.7067,-4.2967,1.8536,-6.1715,3.4563,13.1257
"369",464886.105407,1.8734,-1.3729,1.8155,-0.2309,-0.9264,12.6439
"28",464886.135589,3.6071,-0.3741,1.2647,1.862,0.4105,12.3132
"283",464886.16574,5.0906,3.9821,0.2047,2.4471,3.4192,11.3824
"67",464886.195892,5.3576,1.889,-0.0719,-0.4713,1.4319,4.2201
"252",464886.226075,1.6939,0.211,0.3829,-10.5496,-1.1473,-1.3012
"65",464886.256226,-0.4361,1.3996,0.381,-14.6152,-1.7394,-2.3847
"329",464886.286408,-1.3259,2.8948,-0.0925,-9.5824,-4.1758,0.7225
"206",464886.316559,-3.6963,2.9062,-0.4539,-1.0152,-2.2268,1.0839
"61",464886.346711,-3.5949,2.2142,-0.3082,2.2584,0.0233,-1.9487
"5",464886.376892,-2.9638,2.5431,-0.912,0.1007,-0.4028,-4.0072
"131",464886.407044,-1.3349,4.453,-0.3258,1.9229,0.3392,-7.284
"139",464886.437195,1.2069,4.7856,-0.0548,2.0936,2.7628,-8.27
"209",464886.467377,8.5657,6.1028,0.991,2.0564,-3.0244,-10.3048
"297",464886.497528,6.8257,2.3837,1.8637,1.0304,-0.8,-10.3355
"66",464886.52768,4.4538,-0.0937,1.9457,1.7832,2.7179,-9.197
"113",464886.557862,3.7195,-1.3351,1.8836,3.5687,4.2494,-7.8463
"362",464886.588013,2.8823,-3.383,2.6259,6.0324,3.4502,-5.311
"356",464886.618195,1.6573,-4.7941,3.1405,0.3147,2.7504,-2.0635
"170",464886.648346,1.1393,-4.0531,1.8528,-4.8322,4.8465,4.0945
"278",464886.678498,2.2923,-2.8076,1.3352,-3.62,4.1145,9.0577
"378",464886.70868,1.8143,-2.0166,1.613,-2.7404,1.1767,10.3439
"340",464886.738831,2.3169,-0.6071,1.2432,-1.4861,2.7529,11.6034
"215",464886.768982,3.3809,2.3636,0.7172,0.2804,1.3339,10.5714
"249",464886.799164,3.5665,2.1098,0.6128,1.9929,2.1447,9.6128
"169",464886.829315,3.3763,1.7472,-0.5489,-4.4994,2.2392,3.73
"351",464886.859497,1.3128,1.8278,-0.3622,-8.997,0.8008,0.2085
"110",464886.889649,-0.3286,1.1925,-0.0968,-11.6553,-1.3437,-1.5019
"291",464886.9198,-1.7183,1.8144,0.1342,-13.0872,-3.5848,1.0903
"345",464886.949982,-3.0878,5.3497,0.4497,-2.5242,-1.1989,0.296
"336",464886.980133,-3.4114,3.684,-0.7584,6.2052,0.4788,-2.7702
"168",464887.010285,-2.389,2.3587,-0.5057,1.1857,0.0153,-7.0264
"158",464887.040467,-0.5707,4.98,-0.7222,-0.2541,0.5126,-9.3786
"338",464887.070618,9.3437,8.1968,1.6406,4.4277,-4.9307,-9.5972
"207",464887.1008,8.3663,2.742,1.9451,-3.4609,-2.8413,-11.9544
"31",464887.130951,6.2142,0.7473,1.4338,-2.1373,4.2769,-10.8942
"317",464887.161103,5.3906,-0.6047,1.915,4.2787,7.3228,-8.9636
"241",464887.191284,4.1623,-4.4424,2.6008,6.789,6.5095,-6.7578
"46",464887.221436,2.1834,-6.8756,2.2619,-0.7689,3.445,-2.1517
"295",464887.251567,0.7494,-5.5174,1.1446,-8.3631,6.2129,9.1186
"269",464887.281749,3.8978,-3.3818,1.8041,-4.917,1.7742,12.8634
